Algoritmo,Tempo Médio de Espera,Desvio Padrão (Espera),Tempo Médio de Retorno,Desvio Padrão (Retorno),Vazão (Throughput)
FCFS,19.2,17.79606698121807,30.0,19.06567596493762,5
SJF,11.4,13.183322798141598,22.2,21.22969618247044,5
RR (Q=1),47.2,23.636835659622463,58.0,31.622776601683793,5
RR (Q=2),34.4,16.772000476985447,45.2,24.610973162392423,5
RR (Q=4),24.8,14.184498581197715,35.6,22.108821768696767,5
RR (Q=8),19.6,14.170391667134682,30.4,21.651789764358973,5
RR (Q=16),23.6,14.449913494550755,34.4,19.944924166313594,5
